ValidTime,gep1,gep2,gep3,gep4,gep5,gep6,gep7,gep8,gep9,gep10,gep11,gep12,gep13,gep14,gep15,gep16,gep17,gep18,gep19,gep20
2017-09-29 18:00:00,77.990020752,79.0699768066,75.109954834,77.4499816895,79.2499694824,75.8299865723,74.9299621582,74.2099914551,73.6700134277,73.6700134277,68.2699890137,80.3299865723,75.6499328613,73.1299743652,78.3499450684,74.3899841309,74.3899841309,79.0699768066,73.309967041,77.809967041
2017-09-30 00:00:00,79.9700012207,81.0499572754,78.1700134277,79.9700012207,82.309967041,77.4499816895,76.9100036621,76.3700256348,75.2900085449,76.5499572754,68.2699890137,82.6700134277,76.7299499512,76.7299499512,81.5899963379,76.3700256348,76.5499572754,81.7699890137,75.6499328613,80.1499328613
2017-09-30 06:00:00,75.109954834,75.109954834,72.9499816895,74.7499694824,76.5499572754,73.6700134277,72.9499816895,71.8700256348,71.6899719238,72.7699890137,66.6499328613,76.5499572754,72.7699890137,73.1299743652,76.1899719238,73.490020752,73.309967041,76.5140075684,70.9700012207,75.109954834
2017-09-30 12:00:00,70.4299621582,67.2799987793,65.893951416,66.4700012207,71.6539611816,69.691986084,68.4499816895,66.4700012207,67.1899719238,67.9100036621,64.309967041,68.143951416,69.8539733887,66.8299865723,70.7900085449,69.9079284668,69.1879577637,69.2059631348,68.6299743652,67.5499572754
2017-09-30 18:00:00,76.9100036621,77.990020752,77.4499816895,77.6299743652,78.8899841309,77.809967041,78.3499450684,77.2699890137,75.4700012207,78.3499450684,75.4700012207,78.1700134277,75.109954834,77.990020752,77.990020752,74.3899841309,77.4499816895,78.1700134277,74.9299621582,77.809967041
2017-10-01 00:00:00,79.9879455566,80.3839416504,81.2299499512,81.4100036621,81.0499572754,81.9499816895,82.1299743652,80.509979248,79.609954834,81.6799621582,80.1499328613,81.5899963379,79.9700012207,81.0499572754,81.0499572754,79.2499694824,80.7799987793,82.1299743652,78.5299987793,81.4100036621
2017-10-01 06:00:00,73.6700134277,74.9479064941,74.7499694824,74.7499694824,76.3700256348,75.2900085449,75.6499328613,74.011932373,73.8499450684,75.109954834,73.490020752,75.2900085449,73.6700134277,74.5699768066,75.109954834,74.2099914551,74.3899841309,75.4159240723,73.1299743652,74.7499694824
2017-10-01 12:00:00,65.5699768066,68.5579528809,67.3159484863,66.2900085449,69.3679504395,66.8299865723,67.9999694824,66.559967041,66.6859436035,67.5499572754,66.0739440918,66.9379577637,66.2900085449,66.3079528809,66.7939147949,67.2979431152,66.2899475098,67.1539611816,67.1719665527,66.5060119629
2017-10-01 18:00:00,77.0899963379,78.7099914551,79.0699768066,77.0899963379,78.8899841309,79.0699768066,80.1499328613,77.6299743652,80.1499328613,77.6299743652,77.990020752,77.0899963379,78.5299987793,76.009979248,79.0699768066,77.2699890137,77.0899963379,77.2699890137,79.4299621582,77.990020752
2017-10-02 00:00:00,81.7699890137,83.5699768066,83.7499694824,81.9499816895,83.5699768066,83.9299621582,84.4700012207,82.1299743652,84.4700012207,82.1299743652,83.0299987793,82.1299743652,83.3899841309,80.8700256348,83.7499694824,82.309967041,82.309967041,81.9859313965,84.109954834,83.0299987793
2017-10-02 06:00:00,75.2900085449,77.8999328613,77.0899963379,75.6499328613,77.0899963379,77.6299743652,77.990020752,75.4700012207,77.990020752,75.9199523926,76.5499572754,75.7039489746,76.9459533691,74.2099914551,77.2699890137,75.6499328613,76.009979248,75.6319274902,77.809967041,76.1899719238
2017-10-02 12:00:00,68.990020752,72.427947998,70.9700012207,70.4299621582,71.2399597168,72.0140075684,72.7699890137,70.2499694824,71.1499328613,70.609954834,70.2499694824,68.9899597168,73.4719543457,69.6739196777,72.1219787598,70.9700012207,71.3299865723,70.2499694824,71.8700256348,70.4299621582
2017-10-02 18:00:00,77.990020752,85.009979248,81.7699890137,81.0499572754,83.7499694824,84.2900085449,77.6299743652,83.2099914551,83.2099914551,83.9299621582,82.8499450684,83.3899841309,82.309967041,82.490020752,81.2299499512,78.3499450684,84.2900085449,82.309967041,84.109954834,83.7499694824
2017-10-03 00:00:00,79.2499694824,88.4299621582,86.2699890137,84.4700012207,87.3499450684,87.7099914551,83.2099914551,86.990020752,85.9100036621,87.7099914551,85.7299499512,86.4499816895,84.1639709473,85.009979248,85.9100036621,82.8499450684,87.1700134277,86.4499816895,86.2699890137,87.3499450684
2017-10-03 06:00:00,76.1899719238,82.8499450684,81.5899963379,80.3299865723,81.5899963379,81.9499816895,79.7900085449,80.6899719238,81.2299499512,80.509979248,81.2299499512,80.509979248,79.7899475098,79.8979187012,82.1299743652,79.4299621582,81.5899963379,79.9159240723,81.0499572754,81.0499572754
2017-10-03 12:00:00,71.4559631348,75.4700012207,76.009979248,74.0299987793,73.8499450684,74.3899841309,70.2499694824,74.5699768066,74.7499694824,74.0299987793,75.6499328613,74.425994873,75.4699401855,72.2299499512,74.3899841309,75.6499328613,75.6499328613,72.5359191895,74.5699768066,74.2099914551
2017-10-03 18:00:00,82.490020752,84.2900085449,81.0499572754,82.8499450684,82.6700134277,83.5699768066,70.609954834,84.109954834,84.4700012207,84.109954834,70.9700012207,83.4979553223,79.2499694824,80.3299865723,80.1499328613,81.4100036621,84.8299865723,80.8700256348,83.0299987793,83.0299987793
