,gep1,gep2,gep3,gep4,gep5,gep6,gep7,gep8,gep9,gep10,gep11,gep12,gep13,gep14,gep15,gep16,gep17,gep18,gep19,gep20
2017-10-08 06:00:00,76.5499572754,70.0699768066,72.427947998,74.5699768066,73.8499450684,72.2299499512,67.3879699707,72.9679870605,73.490020752,73.1299743652,76.7299499512,74.191986084,72.6079406738,69.3499450684,73.3279724121,78.1339416504,70.609954834,74.7319641113,73.6699523926,74.6239318848
2017-10-08 12:00:00,72.9139709473,65.3899841309,69.1700134277,70.4299621582,70.609954834,67.5499572754,62.8159484863,68.2699890137,69.7099914551,69.1700134277,73.309967041,72.2299499512,72.2299499512,64.4359436035,68.2699890137,73.1299743652,66.109954834,69.6739196777,68.809967041,69.8899841309
2017-10-08 18:00:00,72.4100036621,65.0299987793,68.809967041,70.0699768066,70.4299621582,67.1899719238,62.275970459,67.9100036621,69.5299987793,68.6299743652,73.1299743652,72.2299499512,72.4100036621,64.1299743652,68.0899963379,72.5899963379,65.7499694824,69.5299987793,68.2699890137,69.7099914551
2017-10-09 00:00:00,82.5799865723,77.6299743652,81.3199768066,81.5899963379,83.0299987793,79.4299621582,72.7879943848,79.9700012207,82.309967041,81.9499816895,79.7900085449,78.1700134277,77.4499816895,76.9100036621,81.5899963379,82.490020752,77.809967041,81.5899963379,80.509979248,81.2299499512
2017-10-09 06:00:00,76.0459899902,69.0079650879,74.227935791,74.9299621582,75.4700012207,70.7900085449,63.0499572754,71.3659362793,76.5679626465,74.3899841309,73.8499450684,74.5699768066,73.8499450684,69.5299987793,74.227935791,74.7679748535,68.6299743652,75.4699401855,72.7879943848,72.4100036621
2017-10-09 12:00:00,72.2299499512,64.8499450684,70.0699768066,71.8700256348,74.5699768066,67.1899719238,59.3059997559,66.8119812012,73.1119689941,70.2499694824,70.4299621582,71.6539611816,70.9700012207,64.8499450684,70.2139587402,69.3499450684,66.4700012207,71.9959411621,69.1700134277,67.5499572754
2017-10-09 18:00:00,71.6899719238,64.8499450684,69.8899841309,73.309967041,74.5699768066,66.6499328613,59.2879943848,66.6499328613,72.7699890137,70.0699768066,70.2499694824,72.4100036621,71.1499328613,64.309967041,69.8899841309,69.1700134277,66.4700012207,71.6899719238,68.6299743652,67.009979248
2017-10-10 00:00:00,80.7799987793,76.7299499512,82.4179992676,78.3499450684,81.0499572754,80.8700256348,75.5779724121,80.3299865723,84.2900085449,82.6700134277,81.0499572754,78.8899841309,77.809967041,78.7099914551,81.7699890137,81.0499572754,79.9700012207,80.509979248,82.490020752,79.609954834
2017-10-10 06:00:00,76.225982666,68.0899353027,75.1819152832,72.9499816895,75.4700012207,74.5699768066,69.2239685059,70.9879455566,77.1079406738,75.109954834,76.2079772949,72.4100036621,75.4700012207,70.4299621582,73.1659240723,75.4700012207,71.8700256348,73.7059631348,74.2099914551,70.9700012207
2017-10-10 12:00:00,73.2739562988,63.4100036621,71.3299865723,63.4100036621,74.227935791,73.1299743652,65.9299621582,65.5519714355,72.5899353027,70.9519958496,73.2739562988,67.2079772949,71.509979248,66.4700012207,68.2699279785,71.6899719238,67.7119445801,71.3299865723,69.8899230957,67.009979248
2017-10-10 18:00:00,73.6700134277,63.2299499512,70.9700012207,62.6899719238,73.8499450684,72.4100036621,65.7499694824,65.2099914551,72.0499572754,70.609954834,72.7699890137,64.309967041,70.9700012207,66.2900085449,67.7299499512,70.9700012207,67.1899719238,68.2699890137,69.8899841309,66.6499328613
2017-10-11 00:00:00,78.7099914551,76.5499572754,81.2299499512,73.1299743652,80.8700256348,81.5899963379,77.0899963379,78.3499450684,82.5799865723,80.6899719238,75.8659362793,66.991973877,78.5299987793,79.9700012207,79.609954834,79.4299621582,78.9979553223,66.4700012207,81.2299499512,79.2499694824
2017-10-11 06:00:00,73.8499450684,69.1699523926,75.1459655762,65.2099914551,74.9299621582,75.109954834,72.0499572754,70.4299621582,74.6059875488,76.7299499512,72.9859313965,62.4020080566,70.6459655762,71.8700256348,70.609954834,76.5499572754,70.8079528809,59.3779602051,60.277923584,71.8700256348
2017-10-11 12:00:00,70.4299621582,64.1299743652,65.1739196777,61.7900085449,72.4100036621,69.5299987793,69.943939209,67.1899719238,69.7099914551,72.7699890137,71.1679992676,59.8819274902,65.425994873,68.0899963379,66.2720031738,70.7899475098,66.109954834,53.2039489746,57.0199279785,69.1700134277
2017-10-11 18:00:00,70.609954834,63.5899963379,61.7900085449,61.0699768066,72.4100036621,68.990020752,69.1700134277,66.8299865723,68.990020752,72.5899963379,70.9700012207,59.4499816895,65.0479431152,67.5499572754,65.5699768066,70.609954834,65.9299621582,52.4299621582,56.5699768066,69.1700134277
2017-10-12 00:00:00,80.4020080566,76.5499572754,70.9339904785,71.3299865723,77.990020752,75.6499328613,76.009979248,79.4299621582,81.0499572754,80.6899719238,62.3299865723,74.3899841309,75.3619689941,79.7900085449,78.7099914551,80.8700256348,77.990020752,61.609954834,67.7299499512,78.1700134277
2017-10-12 06:00:00,73.8679504395,68.3959655762,63.2839660645,59.809967041,72.0499572754,66.109954834,71.5459899902,70.9700012207,73.8499450684,71.1499328613,58.6219787598,69.5299987793,67.927947998,72.2299499512,71.743927002,76.009979248,69.3859558105,55.309967041,63.2479553223,73.7239685059
2017-10-12 12:00:00,70.0339660645,61.8799743652,56.9839782715,56.5699768066,65.3899841309,62.8700256348,69.7640075684,67.5679626465,68.990020752,65.5699768066,57.7219543457,68.6299743652,64.4539489746,67.5499572754,67.9100036621,70.9339904785,64.6879577637,51.8899841309,60.511932373,73.490020752
2017-10-12 18:00:00,69.8899841309,61.2499694824,54.7699890137,56.5699768066,65.0299987793,62.6899719238,69.3499450684,67.1899719238,68.0899963379,64.8499450684,57.4700012207,68.4499816895,63.7339782715,66.8299865723,67.009979248,70.609954834,64.490020752,51.7099914551,59.990020752,73.490020752
2017-10-13 00:00:00,81.1399230957,73.490020752,59.809967041,68.0899963379,75.2900085449,76.5499572754,80.941986084,79.4299621582,79.7900085449,75.8299865723,60.1700134277,77.4499816895,78.2059631348,76.7299499512,79.4299621582,81.4100036621,78.0799865723,64.8499450684,68.0899963379,71.1499328613
2017-10-13 06:00:00,74.0659484863,64.6520080566,52.4659729004,60.5299987793,68.4499816895,68.0899963379,74.227935791,70.9700012207,74.2099914551,69.8899841309,60.7099914551,71.0060119629,72.5719909668,68.4499816895,72.2299499512,73.1299743652,70.0879821777,58.1719665527,62.509979248,70.177947998
